timestamp,price,date
1732752000000,95981.18057210564,2024-11-28
1732838400000,95661.59595817851,2024-11-29
1732924800000,97453.2473451042,2024-11-30
1733011200000,96513.14234698225,2024-12-01
1733097600000,97311.70719084324,2024-12-02
1733184000000,95833.1362300365,2024-12-03
1733270400000,96031.63097759831,2024-12-04
1733356800000,98881.4694561823,2024-12-05
1733443200000,97201.50036407741,2024-12-06
1733529600000,99973.85150659826,2024-12-07
1733616000000,99781.82999198174,2024-12-08
1733702400000,101235.3717025316,2024-12-09
1733788800000,97353.94700820887,2024-12-10
1733875200000,96649.71446771531,2024-12-11
1733961600000,101123.61811033697,2024-12-12
1734048000000,100000.80836535197,2024-12-13
1734134400000,101352.22971292294,2024-12-14
1734220800000,101367.01064553364,2024-12-15
1734307200000,104721.50151808978,2024-12-16
1734393600000,106074.10723541168,2024-12-17
1734480000000,106034.913402645,2024-12-18
1734566400000,100355.5761481501,2024-12-19
1734652800000,97851.35377075805,2024-12-20
1734739200000,97691.43431692653,2024-12-21
1734825600000,97202.82496847633,2024-12-22
1734912000000,95094.27394862173,2024-12-23
1734998400000,94644.91085464321,2024-12-24
1735084800000,98695.71400782601,2024-12-25
1735171200000,99344.95417367229,2024-12-26
1735257600000,95678.31244565405,2024-12-27
1735344000000,94331.94727053077,2024-12-28
1735430400000,95184.61945288602,2024-12-29
1735516800000,93663.44751964067,2024-12-30
1735603200000,92627.28213113277,2024-12-31
1735689600000,93507.85874741491,2025-01-01
1735776000000,94384.1761153871,2025-01-02
1735862400000,96852.14681235075,2025-01-03
1735948800000,98084.34279280754,2025-01-04
1736035200000,98256.73876849933,2025-01-05
1736121600000,98364.58946599838,2025-01-06
1736208000000,102229.39453189743,2025-01-07
1736294400000,96952.09886774956,2025-01-08
1736380800000,95016.71440989176,2025-01-09
1736467200000,92376.27578346101,2025-01-10
1736553600000,94736.6267420969,2025-01-11
1736640000000,94559.55167224213,2025-01-12
1736726400000,94454.77089638807,2025-01-13
1736812800000,94456.3493746993,2025-01-14
1736899200000,96574.07768799194,2025-01-15
1736985600000,100313.15239828422,2025-01-16
1737072000000,100044.57926776377,2025-01-17
1737158400000,104160.69358484233,2025-01-18
1737244800000,104334.61575724394,2025-01-19
1737331200000,101275.33714814208,2025-01-20
1737417600000,101764.90860170545,2025-01-21
1737504000000,106182.2368201815,2025-01-22
1737590400000,103673.53509537787,2025-01-23
1737676800000,104067.60991206947,2025-01-24
1737763200000,104835.19253555956,2025-01-25
1737849600000,104796.04077738234,2025-01-26
1737936000000,102552.24874280207,2025-01-27
1738022400000,101958.46953745594,2025-01-28
1738108800000,101313.11264498268,2025-01-29
1738195200000,103718.97939813645,2025-01-30
1738281600000,104781.5135100103,2025-01-31
1738368000000,102382.39409722165,2025-02-01
1738454400000,100674.78762544956,2025-02-02
1738540800000,97568.31653024875,2025-02-03
1738627200000,101466.8606657039,2025-02-04
1738713600000,98118.43921664466,2025-02-05
1738800000000,96582.88682919052,2025-02-06
1738886400000,96635.41875332211,2025-02-07
1738972800000,96558.4563096667,2025-02-08
1739059200000,96558.23762501091,2025-02-09
1739145600000,96548.57865379585,2025-02-10
1739232000000,97399.98161383197,2025-02-11
1739318400000,95739.97737079239,2025-02-12
1739404800000,97836.18856127483,2025-02-13
1739491200000,96561.6639990985,2025-02-14
1739577600000,97488.48148536457,2025-02-15
1739664000000,97569.95169430465,2025-02-16
1739750400000,96149.3484548204,2025-02-17
1739836800000,95776.15723852723,2025-02-18
1739923200000,95495.89153299287,2025-02-19
1740009600000,96554.87156259285,2025-02-20
1740096000000,98384.31738240314,2025-02-21
1740182400000,96135.15541305285,2025-02-22
1740268800000,96564.15414290235,2025-02-23
1740355200000,96327.46309127835,2025-02-24
1740441600000,91396.76686930266,2025-02-25
1740528000000,88755.7693356979,2025-02-26
1740614400000,83900.11496524839,2025-02-27
1740700800000,84709.14477847965,2025-02-28
1740787200000,84441.9012237131,2025-03-01
1740873600000,86005.25629681018,2025-03-02
1740960000000,94261.53286538439,2025-03-03
1741046400000,86124.71418722175,2025-03-04
1741132800000,87310.80531078295,2025-03-05
1741219200000,90604.08098523637,2025-03-06
1741305600000,90001.40087607042,2025-03-07
1741392000000,86773.33597555371,2025-03-08
1741478400000,86142.9833586432,2025-03-09
1741564800000,80751.13893300897,2025-03-10
1741651200000,78783.94057934263,2025-03-11
1741737600000,82799.1080292053,2025-03-12
1741824000000,83884.24578828987,2025-03-13
1741910400000,81098.90052436228,2025-03-14
1741996800000,83971.70916064628,2025-03-15
1742083200000,84391.69087647168,2025-03-16
1742169600000,82610.61750343916,2025-03-17
1742256000000,84075.36559694471,2025-03-18
1742342400000,82780.03048688271,2025-03-19
1742428800000,86815.44109470697,2025-03-20
1742515200000,84270.84358966233,2025-03-21
1742601600000,84009.532917822,2025-03-22
1742688000000,83793.30854192551,2025-03-23
1742774400000,85787.70914901773,2025-03-24
1742860800000,87327.72969669085,2025-03-25
1742947200000,87520.58391530563,2025-03-26
1743033600000,86960.8555491039,2025-03-27
1743120000000,87227.27158032371,2025-03-28
1743206400000,84359.46915506005,2025-03-29
1743292800000,82679.17255385047,2025-03-30
1743379200000,82356.38111183756,2025-03-31
1743465600000,82514.09365397849,2025-04-01
1743552000000,85237.5876052852,2025-04-02
1743638400000,82526.4221526433,2025-04-03
1743724800000,83163.98757387721,2025-04-04
1743811200000,83852.00765399594,2025-04-05
1743897600000,83595.88550177493,2025-04-06
1743984000000,78211.48358199988,2025-04-07
1744070400000,79179.29226757778,2025-04-08
1744156800000,76329.090356324,2025-04-09
